haiku,summary
"i have a feeling
 im gone wake up in the worse
shape in the morning","Dread of waking up in bad shape.
"
"Never look at what
 you have lost Always look at
what is left with you","Focus on appreciating what remains rather than dwelling on what's lost.
"
"I AM going to
 finish the year with ALL of
my goals accomplished","A person is determined to achieve all their goals by the end of the year.
"
"It's a raccoon where
 I need to walk and I'm scared
to get out the car","Fear of encountering a raccoon prevents someone from leaving their car.
"
"It s ruining
 other brands that are jumping
on the bandwagon","A popular brand is being copied, hurting other brands.
"
"legend has it that
 im dead it's not a legend
it's true i am dead","The speaker confirms their death is not a legend, but reality.
"
"Beginning of your
 recruit members for the church
of the sub genius","Recruiting members for the Church of the SubGenius.
"
"Guess which country has
 this Conscience and Religious
Freedom Division","A haiku pondering the country that champions conscience and religious freedom.
"
"Officiating
 isn't ruining the game
but it's not helping","A neutral view on officiating, neither detrimental nor beneficial to the game.
"
"LOVE LOVE LOVE making
 new girlfriends like don't be shy
let's be best friends sis","Making new female friends.
"
"this friday is five
 years since paul walker died we
miss you so much paul","A tribute to Paul Walker on the 5th anniversary of his death.
"
"Just got another
 tattoo and it was da worst
feeling of my life","A painful tattoo experience.
"
"Congratulations
 warrior Baseball District
champs Good Luck at State","A baseball team celebrates their district championship and prepares for the state tournament.
"
"i'm fucking dying
 i want my car out here so
bad this is painful","Intense pain and a desperate desire for their car.
"
"A woman in a
 suit is the best best best So
love suit and women","A celebration of women in suits.
"
"A woman that loves
 you is to be respected
but not to be crossed","A woman's love deserves respect, but her anger should be feared.
"
"I demand of the
 sense of touch some degree of
hardness and so sore","Seeking a firm, even painful, tactile experience.
"
"Facebook must be a
 woman A man would never
ask What's on your mind","Facebook encourages sharing thoughts, a behavior more associated with women than men in this context.
"
"Connor Hale steal Takes
 it coast to coast fouled At the
line Made one missed one","A basketball player, Connor Hale, steals the ball, drives coast to coast, gets fouled, and makes one of two free throws.
"
"summer nights on the
 porch with your pals is where it's
at let me tell ya","Spending summer nights with friends on the porch.
"
"I nominate blah
 blah blah for this blah blah blah
challenge R i p","A nomination within a challenge, tinged with loss.
"
"Love looks different
 now but just as beautiful
as I remember","Love's appearance changes over time, but its beauty remains constant.
"
"I'm half British The
 cottage for royals with non
traditional loves","A British cottage for royals with unconventional relationships.
"
"Playing Kept It to
 Myself The Weather Station
The Weather Station","A song by The Weather Station is playing.
"
"Stuff like this isn't
 supposed to happen All we
can do is trust God","Unexpected events and faith in God.
"
"I'm Getting Twice As
 High For Thanksgiving So I
Can Eat Twice As Good","Getting high to enjoy Thanksgiving food more.
"
"hi kinsey is in
 disney and i'm not with her
i'm going to cry","Someone is sad they're not at Disney with Hi Kinsey.
"
"has been texting me
 all day but i want to show
me some attention","Wanting real-life attention, not just texts.
"
"I love good ending
 football games because of the
commentators lol","Excitement of football endings enhanced by commentators.
"
"there's something in the
 air this evening as she came
walking through the door","A woman's arrival brings a noticeable change to the evening atmosphere.
"
"I wonder if the
 Patriots rest their players
in the Titans game","A question about whether the Patriots will rest players in their game against the Titans.
"
"Did he just invent
 the Reverse Soul Patch Why won't
hair grow on his chin","A man's failed attempt at facial hair.
"
"Just accept the fact
 that things will never be same
as before That's all","Accepting change and the impermanence of things.
"
"I am fighting a
 panic attack and I just
need a mental break","Seeking respite from a panic attack.
"
"I love hearing the
 train at night It gets me in
such a peaceful mood","The haiku expresses the speaker's peaceful feeling when hearing a train at night.
"
"favorite song by
 chance the rapper gets me in
such a good ass mood","A Chance the Rapper song evokes a great mood.
"
"Y'all I'm so depressed
 I need a female best friend
out here Life is rough","A lonely person expresses their need for a female friend to cope with life's difficulties.
"
"Done with projects for
 the day Time to kick back and
relax for a while","Finished work, time for relaxation.
"
"Northern line is HELL
 tonight and now I'm running
late i love my life","Commuting on the Northern Line is terrible, causing lateness and frustration.
"
"On the other hand
 I do approve of these Colts
color rush jerseys","Approving of the Indianapolis Colts' color rush jerseys.
"
"Life just keeps getting
 worse and worse fuck did I do
to deserve this shit","Life is getting progressively worse, and the speaker feels they don't deserve the suffering.
"
"Just because you got
 the last word doesn't mean you
won the argument","Winning an argument is not about having the final say.
"
"Man I hope Dallas
 don't beat my ass for trying
this when I get home","Someone anticipates getting in trouble with Dallas when they get home.
"
"Special offer For
 all patients born in August
see pic for details","August-born patients get a special offer; see picture.
"
"Word's of wisdom from
 David P Lyons Don't fart
in a tanning bed","A humorous warning against farting in a tanning bed.
"
"Good prediction how
 you did it do you expect
it recover soon","Inquiring about the method and recovery expectations of a prediction.
"
"I still cant believe
 time flew by so fast How i
wish the sadness too","Time passing quickly, a wish for sadness to pass too.
"
"I always thought air
 was free until i bought a
bag of Doritos","The haiku humorously reflects on the realization that even seemingly free things like air have a hidden cost, exemplified by the inflated packaging of Doritos chips.
"
"I wish I didn't
 get such a mental block when
it came to squatting","Mental block prevents successful squatting.
"
"In most countries the
 legal age for voting and
drinking is the same","Voting and drinking age often align.
"
"No matter what tho
 you cannot argue with the
talent on the field","Talent is undeniable.
"
"this interview is
 going to be so awkward
i don't think i'll watch","Awkward interview anticipated.
"
"Twitter what's the first
 thing you do to shake yourself
out of a rut funk","Seeking inspiration or a mood lift on Twitter.
"
"i think the reasons
 not to don't come close to the
reasons to do it","The reasons for action outweigh the reasons for inaction.
"
"Whoops that wasn't good
 We still love you Coop You owe
me a touchdown tho","A lighthearted apology to a football player named Coop after a mistake, with a request for a touchdown.
"
